age_tuned;ISOBENd13cLOESSsmooth;ISOBENd18oLOESSsmooth
0.000;-0.496;3.498
0.002;-0.277;3.523
0.004;-0.201;3.650
0.006;-0.264;3.877
0.008;-0.410;4.180
0.010;-0.595;4.600
0.012;-0.759;4.994
0.014;-0.800;5.206
0.016;-0.792;5.312
0.018;-0.767;5.280
0.020;-0.729;5.190
0.022;-0.703;5.094
0.024;-0.672;5.001
0.026;-0.614;4.964
0.028;-0.549;4.938
0.030;-0.482;4.903
0.032;-0.437;4.867
0.034;-0.451;4.817
0.036;-0.470;4.772
0.038;-0.479;4.762
0.040;-0.461;4.752
0.042;-0.432;4.747
0.044;-0.393;4.736
0.046;-0.359;4.725
0.048;-0.321;4.719
0.050;-0.303;4.714
0.052;-0.341;4.694
0.054;-0.424;4.686
0.056;-0.593;4.720
0.058;-0.771;4.772
0.060;-0.925;4.855
0.062;-1.025;4.925
0.064;-0.955;4.928
0.066;-0.828;4.889
0.068;-0.727;4.791
0.070;-0.638;4.673
0.072;-0.621;4.561
0.074;-0.550;4.467
0.076;-0.450;4.385
0.078;-0.192;4.299
0.080;0.030;4.231
0.082;-0.043;4.195
0.084;-0.211;4.202
0.086;-0.444;4.305
0.088;-0.639;4.417
0.090;-0.578;4.482
0.092;-0.435;4.517
0.094;-0.269;4.478
0.096;-0.143;4.410
0.098;-0.178;4.354
0.100;-0.232;4.291
0.102;-0.232;4.193
0.104;-0.242;4.112
0.106;-0.263;4.100
0.108;-0.309;4.130
0.110;-0.454;4.236
0.112;-0.573;4.349
0.114;-0.550;4.427
0.116;-0.478;4.462
0.118;-0.316;4.389
0.120;-0.160;4.259
0.122;-0.138;4.043
0.124;-0.173;3.830
0.126;-0.284;3.662
0.128;-0.434;3.623
0.130;-0.590;3.929
0.132;-0.720;4.338
0.134;-0.776;4.780
0.136;-0.806;5.167
0.138;-0.774;5.299
0.140;-0.785;5.280
0.142;-0.832;5.188
0.144;-0.973;5.112
0.146;-1.109;5.027
0.148;-1.191;4.963
0.150;-1.218;4.918
0.152;-1.077;4.917
0.154;-0.899;4.920
0.156;-0.742;4.901
0.158;-0.658;4.877
0.160;-0.858;4.840
0.162;-1.081;4.800
0.164;-1.114;4.768
0.166;-1.096;4.740
0.168;-0.995;4.710
0.170;-0.874;4.694
0.172;-0.883;4.718
0.174;-0.926;4.749
0.176;-0.886;4.763
0.178;-0.843;4.776
0.180;-0.920;4.806
0.182;-0.989;4.824
0.184;-0.924;4.810
0.186;-0.818;4.752
0.188;-0.657;4.593
0.190;-0.501;4.408
0.192;-0.466;4.248
0.194;-0.467;4.107
0.196;-0.476;4.008
0.198;-0.478;3.937
0.200;-0.447;3.907
0.202;-0.383;3.902
0.204;-0.252;3.927
0.206;-0.088;3.946
0.208;0.045;3.962
0.210;0.043;3.957
